Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1589,Cable stiff-legged deadlift,"Martwy Ćwiczenie z sztywnym nogami kabla jest ćwiczeniem dolnej części ciała, które głównie atakuje ścięgna podkolanowe, a jednocześnie korzysta z pośladków przy użyciu odpowiedniego ruchu biodrowego.",Strength Training,Lower Back,Cable,Intermediate,,
1590,Single-leg cable stiff-legged deadlift,"Martwy Ćwiczenie z sztywnym nogawkiem z jednorazową nogą jest ćwiczeniem dolnej części ciała, które głównie atakuje ścięgna podkolanowe, a jednocześnie korzysta z pośladków przy użyciu odpowiedniego ruchu biodrowego.Szkolenie jednej nogi na raz pozwala na opracowanie nierównowagi.",Strength Training,Lower Back,Cable,Intermediate,,
1591,UNS Banded Dumbbell Romanian Deadlift,,Strength Training,Lower Back,Cable,Intermediate,,
1592,Seated Back Extension,,Strength Training,Lower Back,Machine,Beginner,8.2,Average
1593,Back extension,"Rozszerzenie tylnej jest ćwiczeniem stosowanym do budowania siły dolnej części pleców, które również ukierunkowuje ścięgna podkolanowe i pośladki.Często występuje na 45 stopni z zakotwiczonymi stopami.Nieważne przedłużenia wsteczne są często wykonywane dla wysokich powtórzeń, takich jak 15-20 powtórzeń lub więcej, ale ruch można również wykonać z dodatkową wagą w niższych zakresach powtórzeń, takich jak 8-12 powtórzeń na zestaw.",Strength Training,Lower Back,Body Only,Intermediate,9.1,Average
1594,Hyperextensions With No Hyperextension Bench,,Strength Training,Lower Back,Body Only,Beginner,8.8,Average
1595,Superman,"Superman jest ćwiczeniem masy ciała, które składa się z izometrycznych holdów w przedłużonej pozycji kręgosłupa.Kieruje się na mięśnie tylnego łańcucha, w tym mięśnie pośladków, erekcji kręgosłupa i górnej części pleców.Może być wykonywany jako część dynamicznego rozgrzewki lub aktywacji mięśni lub mobilności w dowolnym momencie.",Mobility and Stretching,Lower Back,Body Only,Intermediate,8.3,Average
1596,Hug A Ball,,Mobility and Stretching,Lower Back,Body Only,Intermediate,5.4,Average
1597,Child's pose,"Pozycja dziecka to tradycyjna pozycja jogi, która jest również popularna w treningu fitness i siłowym.Kieruje się na ruchliwość kręgosłupa klatki piersiowej i kontrolę kolumny kręgowej.Można go wykonywać dla czasu lub powtórzeń w ramach dynamicznego rozgrzewki lub jako mobilność lub ćwiczenie naprawcze w dowolnym momencie.Może również działać w ramach sekwencji jogi lub masy ciała z innymi pozami.",Mobility and Stretching,Lower Back,Body Only,Intermediate,5.3,Average
1598,Pelvic Tilt Into Bridge,,Mobility and Stretching,Lower Back,Body Only,Intermediate,5.1,Average
1599,Hug Knees To Chest,,Mobility and Stretching,Lower Back,Body Only,Intermediate,4.4,Average
1600,Pyramid,,Mobility and Stretching,Lower Back,Body Only,Intermediate,1.0,Average
1601,Partner Superman with alternating high-five,"Partner Superman z naprzemienną piątką jest ćwiczeniem, w którym obaj partnerzy wykonują izometryczne podtrzymywanie powtórzeń, wysoko obchodzących się między nimi.Kieruje się na mięśnie tylnego łańcucha, w tym mięśnie pośladków, erekcji kręgosłupa i górnej części pleców.Można go wykonywać jako część dynamicznego rozgrzewki lub jako część treningu lub finiszera zorientowanego na rdzeń lub wsteczną.",Strength Training,Lower Back,Body Only,Beginner,0.0,
1602,Yoga plex,"Plex jogi to odcinek, który łączy elementy jogi psa skierowanego w dół z „największym odcinkiem na świecie”.Jest najczęściej wykonywany jako część dynamicznego rozgrzewki, aby unosić mięśnie od stóp do głów, podnieść temperaturę rdzenia ciała i zmobilizować biodra, górną część pleców i ramion.",Mobility and Stretching,Lower Back,Body Only,Intermediate,,
1603,TBS Back Extension,"Rozszerzenie tylnej jest ćwiczeniem stosowanym do budowania siły dolnej części pleców, które również ukierunkowuje ścięgna podkolanowe i pośladki.Często występuje na 45 stopni z zakotwiczonymi stopami.Nieważne przedłużenia wsteczne są często wykonywane dla wysokich powtórzeń, takich jak 15-20 powtórzeń lub więcej, ale ruch można również wykonać z dodatkową wagą w niższych zakresach powtórzeń, takich jak 8-12 powtórzeń na zestaw.",Strength Training,Lower Back,Body Only,Intermediate,,
1604,Lower Back Stretch - Yates Variation,"Leżący krzyżowy odcinek dolnej części pleców to prosty odcinek masy ciała ukierunkowany na dolną część pleców, bioder i tułów.Polega na obracaniu nóg podczas leżenia płasko na plecach.Jest powszechnie zawarty w dynamicznych rozgrzewkach, ale można go również wykonywać jako mobilność całego ciała w dowolnym momencie.",Strength Training,Lower Back,Body Only,Intermediate,,
1605,Hyperextension - Gethin Variation,"Rozszerzenie tylnej jest ćwiczeniem stosowanym do budowania siły dolnej części pleców, które również ukierunkowuje ścięgna podkolanowe i pośladki.Często występuje na 45 stopni z zakotwiczonymi stopami.Nieważne przedłużenia wsteczne są często wykonywane dla wysokich powtórzeń, takich jak 15-20 powtórzeń lub więcej, ale ruch można również wykonać z dodatkową wagą w niższych zakresach powtórzeń, takich jak 8-12 powtórzeń na zestaw.",Strength Training,Lower Back,Body Only,Intermediate,,
1606,Back Extension - Gethin Variation,"Rozszerzenie tylnej jest ćwiczeniem stosowanym do budowania siły dolnej części pleców, które również ukierunkowuje ścięgna podkolanowe i pośladki.Często występuje na 45 stopni z zakotwiczonymi stopami.Nieważne przedłużenia wsteczne są często wykonywane dla wysokich powtórzeń, takich jak 15-20 powtórzeń lub więcej, ale ruch można również wykonać z dodatkową wagą w niższych zakresach powtórzeń, takich jak 8-12 powtórzeń na zestaw.",Strength Training,Lower Back,Body Only,Intermediate,,
1607,HM Banana Stretch,,Strength Training,Lower Back,Body Only,Intermediate,,
1608,HM T-Spine Stretch on Wall,,Mobility and Stretching,Lower Back,Body Only,Intermediate,,
1609,HM Child's Pose,,Strength Training,Lower Back,Body Only,Intermediate,,
1610,HM Cobra,,Strength Training,Lower Back,Body Only,Intermediate,,
1611,HM Cobra With Arm Retraction,,Strength Training,Lower Back,Body Only,Intermediate,,
1612,HM Dive-Bomber,,Strength Training,Lower Back,Body Only,Intermediate,,
1613,HM Downward-Facing Dog Pose,,Strength Training,Lower Back,Body Only,Intermediate,,
1614,HM Downward Dog To Left Leg Extension To Warrior Pose,,Strength Training,Lower Back,Body Only,Intermediate,,
1615,HM Downward Dog To Right Leg Extension To Warrior Pose,,Strength Training,Lower Back,Body Only,Intermediate,,
1616,HM Spine Twist,,Strength Training,Lower Back,Body Only,Intermediate,,
1617,HM Good Morning,,Strength Training,Lower Back,Body Only,Intermediate,,
1618,HM Rag Doll,,Strength Training,Lower Back,Body Only,Intermediate,,
1619,HM Upward-Facing Dog Pose,,Strength Training,Lower Back,Body Only,Intermediate,,
1620,Superman-,"Superman jest ćwiczeniem masy ciała, które składa się z izometrycznych holdów w przedłużonej pozycji kręgosłupa.Kieruje się na mięśnie tylnego łańcucha, w tym mięśnie pośladków, erekcji kręgosłupa i górnej części pleców.Może być wykonywany jako część dynamicznego rozgrzewki lub aktywacji mięśni lub mobilności w dowolnym momencie.",Strength Training,Lower Back,Body Only,Intermediate,,
1621,Weighted back extension,"Ważone przedłużenie pleców jest ćwiczeniem ukierunkowanym na wyprostowanie kręgosłupa, a także pośladki i ścięgna podkolanowe.Rozszerzenia tylne są często wykonywane dla wysokich powtórzeń bez wagi, ale po zakończeniu wagi mogą być doskonałym ruchem akcesoriów pod kątem siły martwego, a także ogólnym budowniczym siły tylnej łańcucha.Ponieważ twoje plecy są czynnikiem ograniczającym, nadal jest to ćwiczenie, które jest zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub wyższy.Możesz go ważyć talerzem lub trzymając hantle lub inną ciężar w dłoniach.",Strength Training,Lower Back,Body Only,Intermediate,,
1622,MetaBurn Alternating Superman,,Strength Training,Lower Back,Body Only,Intermediate,,
1623,MetaBurn Swimmer,,Strength Training,Lower Back,Body Only,Intermediate,,
1624,Dancer's Stretch,,Mobility and Stretching,Lower Back,,Beginner,5.4,Average
1625,Cat Stretch,,Mobility and Stretching,Lower Back,,Beginner,4.9,Average
1626,Crossover Reverse Lunge,,Mobility and Stretching,Lower Back,,Beginner,3.9,Average
1627,Standing Pelvic Tilt,,Mobility and Stretching,Lower Back,,Beginner,3.1,Average
1628,Exercise ball weighted hyperextension,"Hiperextension ważony w piłce do ćwiczeń to ćwiczenie, które wzmacnia dolną część pleców.Jeśli problem jest problemem, poproś o to, aby ktoś trzymał twoje stopy.",Strength Training,Lower Back,Exercise Ball,Beginner,8.3,Average
1629,Exercise ball rear delt fly,"Tylna mucha delt z piłką ćwiczeń to ćwiczenie hantli skierowane do tylnych głów ramion, a także mięśnie górnej średniej.Leżące podatne na piłkę do ćwiczeń oferuje wsparcie w wykonywaniu ruchu.Jest to ogólnie wykonywane dla umiarkowanych do wysokich powtórzeń w ramach treningu górnego ciała lub ramion.",Strength Training,Lower Back,Exercise Ball,Intermediate,,
1630,Lying rear delt Y,"Leżąca tylna delt Y działa w ramionach, w szczególności tylne głowy, a także dolne mięśnie trapezu.Na szczycie ruchu ramiona i tułów tworzą Y - stąd nazwa.Odmiany ramion są zwykle wykonywane z lekkimi ciężarami jako ruch rozgrzewki lub prehab do treningu górnego ciała lub wypalenie w dniu barku.",Strength Training,Lower Back,Exercise Ball,Intermediate,,
1631,Partner Facing Feet-Elevated Side Plank With Band Row,,Strength Training,Middle Back,Bands,Beginner,0.0,
1632,Partner side plank band row,"Partner Part Plank Row to ćwiczenie brzucha, w którym dwóch partnerów wykonuje deski boczne, jednocześnie ciągnąc przeciwne końce zespołu ćwiczeń.Ta technika może być wykonana dla czasu lub powtórzeń podczas każdego treningu zorientowanego na A.",Strength Training,Middle Back,Bands,Intermediate,0.0,
1633,Band-assisted chin-up,"Podbródka wspomagana pasmem jest odmianą ćwiczeń podciągania, w której powtórzenia są wykonywane z dłoniami skierowanymi w kierunku ciała w pozycji podstępnej, z opaską zapętloną wokół stóp lub kolan.Zmniejsza to wagę i opór u dołu reprezentacji, jednocześnie zwiększając ją w kierunku góry.Podobnie jak inne odmiany podciągania, buduje siłę i mięsień w górnej części pleców, biceps i rdzeniu, ale wykorzystuje biceps nieco bardziej niż podciąganie wspomagane pasmem.",Strength Training,Middle Back,Bands,Intermediate,,
1634,30 Back Band-Assisted Pull-Up,,Strength Training,Middle Back,Bands,Intermediate,,
1635,30 Back Reverse-Grip Band-Assisted Pull-Up,,Strength Training,Middle Back,Bands,Intermediate,,
1636,Band bent-over row,"Pasmo wygięte w rzędu jest ćwiczeniem do rozwijania i wzmocnienia mięśni górnego i środkowego pleców, takich jak Latissimus (LAT), dolny trapez i tylne naramienniki.Pasma zapewniają dynamiczną odporność i mogą działać równie dobrze pod względem siły, budowania mięśni lub treningów tłuszczu tłuszczowego lub obwodu.",Strength Training,Middle Back,Bands,Intermediate,,
1637,Heavy band bent-over row,"Ciężki opaska wygięte rzędu to odmiana popularnego ćwiczenia sztangi do rozwoju i wzmocnienia mięśni górnego i środkowego pleców, takich jak Latissimus (LATS), dolny trapez i tylne naraziki.Może działać równie dobrze pod względem siły, budowania mięśni lub treningów tłuszczowych w stylu obwodu.",Strength Training,Middle Back,Bands,Intermediate,,
1638,Reverse-grip bent-over row,"Rząd wygięty w odwróconym chwytaku jest ćwiczeniem złożonym stosowanym do budowania siły i wielkości zarówno w dolnej, jak i górnej części pleców.Celuje prawie wszystkie mięśnie z tyłu, ale szczególnie Lats, Rhomboids i dolne plecy.Uważa się, że ukierunkuje na biceps i Lats nieco bardziej bezpośrednio niż rzędy sztangi.Ponieważ można go mocno załadować, jest to popularny ruch siły i treningów z głębi ciała.",Strength Training,Middle Back,Barbell,Intermediate,9.2,Average
1639,One-Arm Long Bar Row,"Jednokazałowy gniewny rząd lądowy jest ćwiczeniem sztangowym skupionym na mięśniach środkowego pleców, takich jak Lats (Latissimus gorsi) i romboids.Kieruje się również na biceps i chwyt.Wykorzystuje urządzenie lądowe, które zakotwicza jeden koniec sztangi w pobliżu ziemi, ale można go również przybliżać, umieszczając sztangę w rogu pokoju.",Strength Training,Middle Back,Barbell,Intermediate,9.0,Average
1640,Bent Over Barbell Row,"Zgięty rząd Barbell jest złożonym ćwiczeniem stosowanym do budowania siły i wielkości zarówno w dolnej, jak i górnej części pleców.Celuje prawie wszystkie mięśnie z tyłu, ale szczególnie Lats, Rhomboids i dolne plecy.Jest powszechnie wykorzystywany jako ruch akcesorialny do martwego ciąży w podnoszeniu mocy, ale jest również popularny pod względem siły i treningów z udziałem mięśni.",Strength Training,Middle Back,Barbell,Intermediate,8.7,Average
1641,Yates Row Reverse Grip,,Strength Training,Middle Back,Barbell,Beginner,8.3,Average
1642,Pendlay Row,"Pendlay Row, nazwany na cześć znanego trenera siły Glenn Pendlay, jest odmianą rzędu wygiętej, w której każdy przedstawiciel zaczyna od sztangi spoczywających na ziemi.To eliminuje odruch rozciągający i zmusza podnośnik do ciągnięcia mocy i wygiętym kręgosłupem.Pendlay Row można wykonać ciężkie dla niskich powtórzeń, ale zwykle jest wykonywane dla umiarkowanych powtórzeń, takich jak 5-8 na zestaw.",Strength Training,Middle Back,Barbell,Intermediate,8.2,Average
1643,Straight Bar Bench Mid Rows,,Strength Training,Middle Back,Barbell,Beginner,6.5,Average
1644,Barbell seal row,"Rząd uszczelniający jest ważonym ćwiczeniem ukierunkowanym na mięśnie środkowego pleców, w tym Lats (Latissimus dorsi) i romboids.Można go wykonać na specjalnej podwyższonej ławce, na ławce umieszczonej na pudełkach lub ławkach lub na ławce z lekkim nachyleniem.Im wyższy ławka, tym większy zakres ruchu i rozciąganie na dnie ruchu.Zwykle wykonuje się to jako ruch pomocy dla siły pleców i wzrostu mięśni, w zakresie powtórzeń 8-12 powtórzeń na zestaw lub wyższy.",Strength Training,Middle Back,Barbell,Intermediate,6.2,Average
1645,Yates Row,,Strength Training,Middle Back,Barbell,Beginner,0.0,Average
1646,Plate Row,,Strength Training,Middle Back,Barbell,Beginner,0.0,Average
1647,Barbell Deadlift Bent Row Complex,"Brilell Deadlift Dane kompleks rzędu łączy dwa ruchy, aby ukierunkować się na łańcuch tylny.Wymaga użycia lżejszej wagi, niż można było sobie poradzić w samym ciężkim martwym ciąży, ale podwaja aktywację w górnej części pleców, dolnej części pleców i pośladkach.",Strength Training,Middle Back,Barbell,Beginner,0.0,
1648,Single-Arm Landmine Row,,Strength Training,Middle Back,Barbell,Beginner,0.0,Average
1649,TBS T-Bar Row,,Strength Training,Middle Back,Barbell,Intermediate,,
1650,TBS Deficit Deadlift,Martwy ciąg z deficytem Barbell jest złożonym ćwiczeniem ukierunkowanym na łańcuch tylny.,Strength Training,Middle Back,Barbell,Intermediate,,
1651,Bent-Over Barbell Row - Gethin Variation,"Zgięty rząd Barbell jest złożonym ćwiczeniem stosowanym do budowania siły i wielkości zarówno w dolnej, jak i górnej części pleców.Celuje prawie wszystkie mięśnie z tyłu, ale szczególnie Lats, Rhomboids i dolne plecy.Jest powszechnie wykorzystywany jako ruch akcesorialny do martwego ciąży w podnoszeniu mocy, ale jest również popularny pod względem siły i treningów z udziałem mięśni.",Strength Training,Middle Back,Barbell,Intermediate,,
1652,Barbell bent-over row,"Zgięty rząd Barbell jest złożonym ćwiczeniem stosowanym do budowania siły i wielkości zarówno w dolnej, jak i górnej części pleców.Celuje prawie wszystkie mięśnie z tyłu, ale szczególnie Lats, Rhomboids i dolne plecy.Jest powszechnie wykorzystywany jako ruch akcesorialny do martwego ciąży w podnoszeniu mocy, ale jest również popularny pod względem siły i treningów z udziałem mięśni.",Strength Training,Middle Back,Barbell,Intermediate,,
1653,UN Barbell Rack Pull,,Strength Training,Middle Back,Barbell,Intermediate,,
1654,UN Barbell Scrape The Rack,,Strength Training,Middle Back,Barbell,Intermediate,,
1655,Barbell deadlift bent-over row complex,"Brilell Deadlift Dane kompleks rzędu łączy dwa ruchy, aby ukierunkować się na łańcuch tylny.Wymaga użycia lżejszej wagi, niż można było sobie poradzić w samym ciężkim martwym ciąży, ale podwaja aktywację w górnej części pleców, dolnej części pleców i pośladkach.",Strength Training,Middle Back,Barbell,Intermediate,,
1656,30 Back Barbell Deadlift,,Strength Training,Middle Back,Barbell,Intermediate,,
1657,30 Back Bent-Over Barbell Row,,Strength Training,Middle Back,Barbell,Intermediate,,
1658,30 Back T-Bar Row,,Strength Training,Middle Back,Barbell,Intermediate,,
1659,30 Back Underhand Bent-Over Barbell Row,,Strength Training,Middle Back,Barbell,Intermediate,,
1660,Kettlebell alternating renegade row,"Kettlebell na przemian Rengade Row łączy wioślarstwo i trening podstawowy w jeden trudny ruch.Jest popularny pod względem wydajnym w czasie siły i treningów budowania mięśni, a także w treningu w stylu obwodowym.",Strength Training,Middle Back,Kettlebells,Intermediate,8.5,Average
1661,Alternating Kettlebell Row,,Strength Training,Middle Back,Kettlebells,Intermediate,7.9,Average
1662,Two-Arm Kettlebell Row,,Strength Training,Middle Back,Kettlebells,Beginner,7.3,Average
1663,Kettlebell bent-over row to clean,"Kettlebell wygięty rząd do czyszczenia to ćwiczenie kettlebell, które atakuje wiele mięśni górnej części ciała, w tym Lats (Latissimus dorsi), biceps, ramiona i rdzeń.Wzmacnia również i trenuje moc wyjściową dolnej części ciała.Można to zrobić w przypadku powtórzeń lub czasu jako kompleks zorientowany na siłę lub mięśnie lub w treningu w stylu obwodowym w celu kondycjonowania lub utraty tłuszczu.",Strength Training,Middle Back,Kettlebells,Intermediate,,
1664,UP Deficit Kettlebell Stiff-Legged Deadlift,"Deadlift deficytu Kettlebell to bardziej zaawansowana wersja ruchu Madebell Deadlift, który jest wykonywany na schodach lub pudełkach.Można to zrobić, aby budować siłę lub mobilność bioder dla przysiadów lub martwych ciąży, w wysokich powtórzeniach lub w bardziej tradycyjnych zakresach powtórzeń siły i mięśni.",Strength Training,Middle Back,Kettlebells,Intermediate,,
1665,FYR2 Dagger-Grip Double-Kettlebell Gorilla Row,,Strength Training,Middle Back,Kettlebells,Intermediate,,
1666,FYR2 Double-Kettlebell Swing Clean,,Strength Training,Middle Back,Kettlebells,Intermediate,,
1667,Single-arm kettlebell row-,"Row jednoczesny Kettlebell jest popularnym ćwiczeniem budowania mięśni i siły, które jednocześnie wykonuje mięśnie pleców i rdzenia.Ma wszystkie te same korzyści jak jednoramienne rzędu hantli, ale niektórzy uważają, że podczas ruchu podczas ruchu jest bardziej komfortowy.",Strength Training,Middle Back,Kettlebells,Intermediate,,
1668,FYR2 Ascending-Rep Swing-Squat Complex,,Strength Training,Middle Back,Kettlebells,Intermediate,,
1669,One-Arm Dumbbell Row,"Rząd z ławki jednoramiennej jest popularnym ćwiczeniem do budowy Latissimus dorsi lub Lat, mięśni pleców.Ławka jest używana do wsparcia podczas ruchu wioślarstwa.",Strength Training,Middle Back,Dumbbell,Intermediate,9.0,Average
1670,Incline dumbbell row,"Rząd hantli nachylenia jest ćwiczeniem górnego ciała ukierunkowanego na Lats (Latissimus dorsi) i mięśnie górnego tyłu, a także biceps.Wykonanie go na ławce nachyleniu pomaga w szczególności ukierunkować niższe LATS.Odmiany rzędu hantli są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach części treningu skoncentrowanego na górnym ciele lub wstecz.",Strength Training,Middle Back,Dumbbell,Intermediate,8.8,Average
1671,Bent Over Two-Dumbbell Row With Palms In,,Strength Training,Middle Back,Dumbbell,Beginner,8.8,Average
1672,Man-maker,"Mężczyzator jest sekwencją ćwiczeń łączących przysiad z przodu hantli, prasę wojskową, Rengade Row i rozciągniętą.Pomiędzy tymi ruchami kwestionuje mięśnie w całym ciele, wraz z układem sercowo -naczyniowym.Można go wykonywać na rundy lub na czas jako jedno ćwiczenie pełnego ciała lub jako część treningu skoncentrowanego na tłuszczu lub atletyzmie.",Strength Training,Middle Back,Dumbbell,Intermediate,8.4,Average
1673,Dumbbell bent-over row,"Gięty rząd hantli jest popularnym ćwiczeniem do rozwijania i wzmacniania mięśni górnego i środkowego pleców, takich jak Latissimus (Lat), dolny trapez i tylne naramienniki.Może działać równie dobrze pod względem siły, budowania mięśni lub treningów tłuszczowych w stylu obwodu.",Strength Training,Middle Back,Dumbbell,Intermediate,8.3,Average
1674,Middle Back Shrug,,Strength Training,Middle Back,Dumbbell,Beginner,8.3,Average
1675,Dumbbell pull-over to skullcrusher,"Pobranie hantli do Skullcrusher to kompleks, który łączy dwa popularne ćwiczenia w jedną sekwencję, która pracuje znaczna część górnej części ciała, szczególnie klatki piersiowej, tricepsów i mięśni przednich Serratus.Ponieważ ciągnięcie określi ilość wagi, której możesz użyć, ten ruch jest zwykle wykonywany dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach części treningu górnego ciała.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1676,Dumbbell Fix Single-Arm Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1677,Dumbbell Fix Bent-Over Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1678,Dumbbell Seal Row - Gethin Variation,"Rząd pieczęci hantli jest ważonym ćwiczeniem ukierunkowanym na mięśnie środkowego pleców, w tym Lats (Latissimus dorsi) i romboids.Można go wykonać na specjalnej podwyższonej ławce, na ławce umieszczonej na pudełkach lub ławkach lub na ławce z lekkim nachyleniem.Im wyższy ławka, tym większy zakres ruchu i rozciąganie na dnie ruchu.Zwykle wykonuje się to jako ruch pomocy dla siły pleców i wzrostu mięśni, w zakresie powtórzeń 8-12 powtórzeń na zestaw lub wyższy.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1679,Decline dumbbell chest fly,"Spadek muchy klatki piersiowej hantli jest ćwiczeniem w górnym ciele skierowanym do mięśni klatki piersiowej, szczególnie dolnej klatki piersiowej.Będzie wymagał mniejszej wagi niż prasa spadła, co czyni go świetnym ćwiczeniem przerostowym z wysokimi powtórzeniami.Wariacje much są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1680,TBS Bent-Over Dumbbell Row,"Gięty rząd hantli jest popularnym ćwiczeniem do rozwijania i wzmacniania mięśni górnego i środkowego pleców, takich jak Latissimus (Lat), dolny trapez i tylne naramienniki.Może działać równie dobrze pod względem siły, budowania mięśni lub treningów tłuszczowych w stylu obwodu.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1681,HM Alternating Bent-Over Quick Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1682,HM Bent-Over Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1683,AM Single Arm Row,"Rząd z ławki jednoramiennej jest popularnym ćwiczeniem do budowy Latissimus dorsi lub Lat, mięśni pleców.Ławka jest używana do wsparcia podczas ruchu wioślarstwa.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1684,Dumbbell stiff-legged deadlift,"Sztywne nogie hantle norgi to ćwiczenie hantli, które są ukierunkowane na ścięgna, pośladki, dolne i górne plecy oraz rdzeń.Różnica między martwym nogawkiem a rumuńskim martwym ciążeniem jest przede wszystkim ilość zakrętu kolanowego.Kolana są tylko lekko zgięte w sztywnym nogach martwym, podczas gdy bardziej zginają się w rumuńsku.W martwym czasie sztywne nogawki są zwykle wykonywane dla niskich do umiarkowanych powtórzeń, takich jak 8-10 powtórzeń na zestaw, z naciskiem na maksymalizację odcinka ścięgna ścięgna, a nie na poruszaniu ciężkiej ciężaru.Zapraszam do noszenia pasa wagowego, aby chronić dolne plecy.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1685,Single-arm bench dumbbell row,"Rząd z ławki jednoramiennej jest popularnym ćwiczeniem do budowy Latissimus dorsi lub Lat, mięśni pleców.Ławka jest używana do wsparcia podczas ruchu wioślarstwa.",Strength Training,Middle Back,Dumbbell,Intermediate,,
1686,UN Bent-Over Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1687,UN Dumbbell RDL,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1688,UN Chest Supported Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1689,MetaBurn Bent-Over Renegade Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1690,30 Back Bent-Over Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1691,30 Back Dumbbell Pull-Over,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1692,30 Back Incline Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1693,30 Back Single-Arm Dumbbell Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1694,30 Back Single-Arm Dumbbell Swing Row,,Strength Training,Middle Back,Dumbbell,Intermediate,,
1695,T-Bar Row with Handle,,Strength Training,Middle Back,Other,Intermediate,9.5,Average
1696,T-Bar Row,,Strength Training,Middle Back,Other,Intermediate,8.9,Average
1697,Alternating sit-through with crunch,"Naprzemiennie usikanie z chrupnięciem to ruch całego ciała, który zaczyna się w pozycji pełzającej niedźwiedzie, a kończy się nogą wyrzuconą na bok.Pomiędzy przedstawicielami wykonujesz chrupnięcie.Jest to powszechnie wykonywane dla powtórzeń lub czasu w obwodach masy ciała i przepływach w stylu zwierząt, ale może również działać samodzielnie lub jako część dynamicznej sekwencji rozgrzewki lub mobilności.",Strength Training,Middle Back,Other,Intermediate,8.9,Average
1698,Seated Cable Rows,"Kabel siedzący jest popularnym ćwiczeniem do trenowania mięśni górnej części pleców, w tym Lats (Latissimus dorsi), pułapek, romboidów i tylnych deltoidów za pomocą stosu kablowego.W mniejszym stopniu celuje w biceps.Rząd kablowy może działać dobrze w różnych ramach reprezentacji, ale jest najbardziej popularny w treningach budowania mięśni lub jako ruch akcesoriów do treningów siłowych.",Strength Training,Middle Back,Cable,Intermediate,8.8,Average
1699,Upside-down pull-up,"Podciąganie do góry nogami jest zaawansowane ćwiczenie w masie ciała, które zwykle wykonywane jest na pary pierścieni gimnastycznych.Polega na ciągnięciu ciała w kierunku sufitu w odwróconej pozycji.Kieruje się na te same mięśnie, co tradycyjne podciągnięcia, w tym Lats (Latissimus dorsi), biceps i rdzeń.Jednak kąt ciągnięcia jest bardziej podobny do wygiętego rzędu lub wiersza pionowego, w zależności od kąta bioder.",Strength Training,Middle Back,Other,Intermediate,8.8,Average
1700,Smith machine inverted row,"Inverted Row Machine Smith Machine to ćwiczenie masy ciała skierowane do mięśni Lats (Latissimus dorsi) i górnej części pleców, za pomocą paska maszyny Smitha do powieszenia i odciągania.Możesz zmienić wysokość paska, aby dostosować poziom trudności i pożądany kąt rzędu.Ta zmiana jest zwykle wykonywana dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej.",Strength Training,Middle Back,Other,Intermediate,8.2,Average
1701,Lying T-Bar Row,,Strength Training,Middle Back,Other,Intermediate,7.9,Average
1702,Suspended row,"Zawieszony rząd to ćwiczenie ciągnięcia masy ciała, które koncentruje się na mięśniach środkowej i górnej pleców, a także na bicepsach.Można go szkolić w tradycyjnych zakresach przedstawiających mięśni lub dla wyższych powtórzeń.Może również działać w ramach dynamicznego rozgrzewki podczas treningu prasowego lub ciągniętego.",Strength Training,Middle Back,Other,Intermediate,7.6,Average
1703,Inverted Row with Straps,,Strength Training,Middle Back,Other,Beginner,6.4,Average
1704,One Arm Chin-Up,,Strength Training,Middle Back,Other,Beginner,6.3,Average
1705,Sled Row,,Strength Training,Middle Back,Other,Beginner,0.0,
1706,Paul Carter T-Bar Row,,Strength Training,Middle Back,Other,Intermediate,,
